bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,World of Warcraft: The Adventure Game – Thundershot Character Pack,2009,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,12,,90,120,,"R0bGq4cAl4,WPytek5P8l,MEAoOygZsA,EVeAdboGUA,mGBzR68m8Z,XM2FYZmBHH",,,,,,,,2,3.0,,,,,jjS3Dc1dIa,,,,,
,Fokker,2000,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,8,,,,,,,,,,,,,,,,,,0,,,,,,jjVMqvzabD,,,,,
,Bloodsand Arena,2010,,"id,num_games,score,game,url,images","Dave Allsop,Eric Belisle,Jason Engle,Warren Mahy,Cole Meier,Dave Rapoza,Matthew Stevens,Matias Tapia,Tyler Walpole","name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,0,,,,,,jjVOghN1yJ,,,,,
,Forbidden Lands RPG: Raven's Purge Campaign Book,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,jjVod9IGMr,,,,,
,Tivoli,,,,,"name,id,url,num_games,score,game,images",2,2,,,,,4,,20,20,,,,,,,,,,0,,,,,,jjXmv3YNLN,,,,,
,Piłkarski Manager,2012,,,,,1,4,,,,,10,,60,60,,,,,,,,,,0,,,,,,jjYk4NTFhR,,,,,
,Colour Magic,2003,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",1,2,,,,,,,60,60,,,,,,,,,,0,,,,,,jjaeJf5Qzx,,,,,
,Miskatonic School for Girls: Holiday Break,2014,,"id,num_games,score,game,url,images",Betsy Peterschmidt,"name,id,url,num_games,score,game,images",2,4,,,,,12,,,,,"iWODHwRGuU,vZsDDAdOoe,WPytek5P8l",,,,,,,,2,3.5,,,,,jjbDeXd8RH,,,,,
,Blanchette: la vache qui pète,2011,,"id,num_games,score,game,url,images",Tony Rochon,"name,id,url,num_games,score,game,images",2,6,,,,,6,,15,15,,,,,,,,,,0,,,,,,jjbouk7n3f,,,,,
,Chicken Pickin',1987,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,2,,,,,7,,,,,,,,,,,,,0,,,,,,jjfB7aSIxy,,,,,
,VOLT,2018,,"id,num_games,score,game,url,images","Annika Brüning,Marina Fahrenbach,Steven Hamilton","name,id,url,num_games,score,game,images",2,2,,,,,10,,30,30,,"PGjmKGi26h,qu5BcGjAzk,DEvPj5twid,XM2FYZmBHH",,,,,,,,1,4.0,,,,,jjfYd5ZZuT,,,,,
,Super Giant Monster Showdown: Destroy Tokyo Tower,1999,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,6,,,,,12,,120,120,,"U3zhCQH7Et,XM2FYZmBHH",,,,,,,,1,3.0,,,,,jjlNexXolZ,,,,,
,Jumpgate Armada,2015,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,13,,30,45,,,,,,,,,,0,,,,,,jjmBT0fcVY,,,,,
,Vem vet vad,,,,,,2,2,,,,,,,15,15,,,,,,,,,,0,,,,,,jjos3ELVHU,,,,,
,Dirty Laundry,,,,,"name,id,url,num_games,score,game,images",2,4,,,,,8,,30,30,,,,,,,,,,1,2.0,,,,,jjptFHxrfT,,,,,
,Minivilles: 5-6 Extension,2015,,"id,num_games,score,game,url,images","Noboru Hotta,Ian Parovel,Mirko Suzuki","name,id,url,num_games,score,game,images",2,6,,,,,7,,30,30,,,,,,,,,,0,,,,,,jjqaD7RixW,,,,,
,Q.A.X.,2003,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,8,,30,30,,,,,,,,,,0,,,,,,jjrCJqSF8P,,,,,
,Brass: 3D Printed Barrels (15 pieces),,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,0,,,,,,jjvUfim8LC,,,,,
,La Bourre,1995,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,7,,,,,10,,45,45,,,,,,,,,,0,,,,,,jjw2sH0n1w,,,,,
,Defenders of the Realm: Magic Gates,2014,,,,"name,id,url,num_games,score,game,images",1,4,,,,,13,,90,120,v4SfYtS2Lr,,,,,,,,,0,,,,,,jk38p2vxTW,,,,,
,Wild Kids,2005,,,,"name,id,url,num_games,score,game,images",2,4,,,,,8,,45,45,,,,,,,,,,0,,,,,,jk3x6iPPFS,,,,,
,Lexigo,2010,,,,"name,id,url,num_games,score,game,images",2,4,,,,,10,,20,20,,,,,,,,,,3,3.0,,,,,jk4dzS69Q8,,,,,
,Pacific Battles: Shanghai,2015,,"id,num_games,score,game,url,images",Larry Hoffman,,1,2,,,,,,,,,,,,,,,,,,0,,,,,,jk5B3bqNwP,,,,,
,TitanCraft | Customizable Monster Minis,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,0,,,,,,jk6odlZzg6,,,,,
,Punto,2018,,,,"id,name,url,num_games,score,game,images",2,4,,,,,7,,20,20,,,,,,,,,,1,3.0,,,,,jk7LJpWFFP,,,,,
,Noxford,2016,,"id,num_games,score,game,url,images",Maud Chalmel,"name,id,url,num_games,score,game,images",2,4,,,,,8,,20,40,,"05zCZoLvQJ,WPytek5P8l,8PN2HE86wg",,,,,,,,7,2.571428571428571,,,,,jkBKIWYgLb,,,,,
,Shoot Out,2002,,"id,num_games,score,game,url,images","Kazutoshi Hina,Rick Schmitz","name,id,url,num_games,score,game,images",2,2,,,,,10,,20,20,,,,,,,,,,2,2.0,,,,,jkFam8p8st,,,,,
,Outfoxed!,2017,,,,"id,name,url,num_games,score,game,images",2,2,,,,,7,,20,20,,,,,,,,,,0,,,,,,jkGpgsD0iY,,,,,
